,place,info,문의 및 안내,홈페이지,주소,이용시간,이용요금,체험프로그램,review,휴일,주차,입장료,화장실,이용가능시설,주차요금,접근로,출입통로,보조견 동반,체험 프로그램,체험가능 연령,주차 요금,수용인원,할인 정보,시설이용료,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,예약안내 홈페이지,객실유형,부대시설,사우나실 여부,규모,캠프파이어 여부,바비큐장여부,장애인 주차 안내,엘리베이터,점자 블록,수유실,"영유아가족
기타상세",휠체어,매표소,영업시간,대표메뉴,취급메뉴,세미나실 여부,스포츠 시설 여부,자전거 대여 여부,객실,공용 PC실 여부,지체장애 기타 상세,청각 장애 기타상세,시각장애 기타상세,안내 요원,주요시설,보유장비,대중 교통,지정현황,이용 시기,코스안내,점자 홍보물,유아용보조의자,판매 품목,좌석수,입점브랜드,휘트니스 센터 여부,노래방 여부,유모차,청각장애용 객실,관람석,대여안내,뷰티시설여부,유도안내 설비
618,사우스마켓(남쪽동네),"‘로컬푸드 큐레이션 샵 - 사우스마켓’은 로컬푸드 스토리를 콘텐츠화하여 음식을 통해 지역문화를 경험할 수 있도록 하며, 로컬을 여행 온 여행객들을 대상으로 소중한 사람들에게 선물하고 싶은 로컬푸드 기념품을 제조, 판매하는 브랜드이다.
판로를 찾기 힘든 지역주민들에게는 안테나샵이 되어 주고 매장을 찾는 고객들에게는 한 곳에서 다양한 로컬상품을 보고, 선택할 수 있는 편의를 제공한다. 사우스마켓은 순천을 방문하는 여행객들에게 양질의 상품을 제공함으로써 순천에 대한 긍정적인 인식을 심어주고자 한다. 순천에서 떠나는 여행객들과 그들의 소중한 사람에게 추억을 나눌 수 있는 마음이 되고자 하는 사우스마켓은 순척역과 종합버스터미널 가까이에 위치하고 있다.",,https://www.instagram.com/south_market_/?hl=ko,전라남도 순천시 역전광장1길 6 1층 사우스마켓,00:00~24:00,,,순천에 이런곳이 있다니 꼭 방문해보고 싶어요,연중무휴,가능(매장 앞 및 건너편 공터주차장),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,나주 구진포 장어거리,"영산강 하구가 둑에 막히면서 자연산 장어가 거의 잡히지 않지만, 영산강의 열두 구비 중 아홉 번째 구비라 하여 이름 붙여진 나주의 구진포는 바닷물과 민물이 만나는 지역이어서 예로부터 장어가 유명하다. 특히 구진포 장어는 미꾸라지를 먹고 자라기 때문에 맛이 뛰어나다.
현재는 구진포 삼거리를 중심으로 7~8곳의 장어집이 명맥을 유지하고 있다. 대부분 1940년대에 들어서기 시작하였으며 이곳만의 조리법으로 조리하기 때문에 비슷한 수준의 맛을 낸다.
구진포는 영산강 물길이 구부러지는 곳에 있는 나루라 해서 ‘구부나루’라 불렸고 예전에는 영산강의 물이 앙암바위를 돌아 이곳에서 모여 다시 굽이친다 해서 회진포라고 불렀다.
차량 이동 약 10분, 4.2㎞ 거리에 영산강 황포돛배 나루터와 나주 홍어거리가 있다.",,http://www.naju.go.kr/tour,전라남도 나주시 다시면 가운리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,약산도(조약도),"약산도는 전라남도 완도군 약산면에 자리한 섬이다. 해남반도와 고흥반도 정중앙에 위치한 섬으로 삼지구엽초 등 산약초가 많이 자생하고 있어 약산면이라 불렸다. 옛날부터 이 섬의 산에는 약재가 많이 있어서 어느 산이든지 “약의 산이다”라는 말이 있었기에 조약과 뜻이 비슷하고 어감이 좋고 부르기 편한 ‘약산’이란 말이 많이 쓰이기 시작하여 개칭하였다고 한다.
약산도에는 약산 해안 치유의 숲이 조성되어 있다. 이곳은 전국 최초로 바다와 산림이 복합된 치유의 숲으로, 산림치유와 해양치유를 동시에 만끽할 수 있는 유일한 곳이다. 동백나무, 붉가시나무, 구실잣밤나무 등 사계절 푸르른 난대수종이 자생 군락을 이루고 있으며, 다도해의 수려한 풍광 또한 동시에 관망이 가능해 걷고 쉬는 것만으로도 충분한 휴식을 할 수 있다.",,,전라남도 완도군 약산면 장용리,"※ 여객 운항 시간 홈페이지 확인
(https://www.wando.go.kr/wando)",,,바다로 둘러쌓인 풍경이 일품입니다. 추천합니다.,연중무휴,,"무료
※ 단, 운항료 별도",,,,,,,"[약산 해안 치유의 숲 - 치유프로그램]
- 개인 5,000원
- 단체(20명 이상) 4,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,엠보스모텔,"목포 엠보스모텔은 장미의 거리에 위치한 숙박업소로서 인근에 먹자골목이 있어 접근성이 편리하다.
(정보제공자: 목포시청)",,,전라남도 목포시 장미로 79,,,,,,,,,,,,,,,,,,,,15:00,13:00,,,,061-285-2211,,"일반, 트윈, 온돌",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,엠모텔,"목포 대안동에 위치하고 있는 엠모텔은 목포역에서 도보로 3분 거리에 있어 접근성이 좋으며 가성비 좋은 모텔이다.
(정보제공자: 목포시청)",,,전라남도 목포시 호남로64번길 13,,,,,,없음,,,,,,,,,,,,,,,,,,,061-244-1717,,"일반실, 특실, 가족실",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,웰호텔,"웰호텔은 전라남도 목포시 상동에 위치한 숙박업소이다. 다양한 테마의 객실로 관광객들의 휴식을 더욱 즐겁게한다.
(정보제공자: 목포시청)",,,전라남도 목포시 비파로116번길 6-2 (상동),,,,,,있음,,,,,,,,,,,,,,16:00,11:00,,스낵코너(조식),26,0507-1475-0392,,"스탠다드 더블룸, 디럭스 더블룸, 디럭스 트윈룸, 패밀리룸",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,째즈호텔,"목포 째즈호텔은 목포 상동에 위치하고 있으며 호텔급 시설이 완비되어 있다. 깨끗하고 깔끔한 객실 관리로 방문객들에게 최상의 서비스를 제공한다. 또한 1층 서비스 바에 간식도 이용가능하다.
(정보제공자: 목포시청)",,,전라남도 목포시 하당남부로61번길 29 (상동),,,,,,,,,,,,,,,,,,,,15:00,12:00,,서비스바(1층),40실,061-261-8900,,"일반실, 디럭스, 준특실, 특실, VIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,자라무인텔,"목포 자라 무인텔은 바다가 보이는 전망 좋은 숙박업소이다. 청결한 객실 관리로 방문객들의 여행에 즐거움을 선사한다.
(정보제공자: 목포시청)",,,전라남도 목포시 평화로61번길 8 1~7층 (상동),,,,,,,,,,,,,,,,,,,,16:00,12:00,,,40실,061-283-7559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,유토피아가족호텔,"유토피아 가족관광호텔은 목포 종합버스터미너레에서 차로 10분 거리에 있으며, 목포의 명소들이 인접해 있는 접근성 좋은 호텔이다. 또한 호텔 내부에는 주차장과 북카페가 마련되어 있다. 객실 내부에는 각종 편의시설이 완비되어 있으며 간단한 조식도 즐길 수 있다.
(정보제공자: 목포시청)",,https://utopiahotel.kr/,전라남도 목포시 평화로 65-9,,,,,,,,,,,,,,,,,,,,16:00,11:00,,,,061-285-3000,,"패밀리 트윈, 온돌, 더블, 트윈",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,유달장,"목포 유달장모텔은 다양한 객실에 마련되어 있으며 안마의자가 구비되어 있는 편리한 숙박업소이다.
(정보제공자: 목포시청)",,,전라남도 목포시 용당로216번길 24,,,,,,가능,,,,,,,,,,,,,,16:00,12:00,,,27실,061-272-7121,,"일반실, 특실, 트윈",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,콘티넨탈호텔,"콘티넨탈호텔은 최신시설을 갖춘 호텔급 숙박시설로 고급스러운 객실에서 서남해안을 조명할 수 있다. 유달산 옆에 자리해 조각공원으로 가족 나들이 가기 편하며, 산자락 밑에 깔리는 밤바다 풍경이 아름답다. 목포 시내와도 가깝다.
(정보제공자: 목포시청)",,,전라남도 목포시 북항로 149 (죽교동),,,,,,주차가능 (주차요금 : 무료),,,,,,,,,,,,,,14:00,12:00,,,,061-244-3500,,"일반, 싱글 트윈, 더블 트윈, 온돌",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,퀸호텔,"목포 퀸모텔은 목포의 관광지 평화광장에 위치한 가족호텔이다. 위생과 청결을 우선시하여 쾌적하게 머무를 수 있다. 전객실 65인치 스마트티비, PC가 설치되어 있어 편안하게 묵어가기 좋다.
(정보제공자: 목포시청)",,,전라남도 목포시 평화로83번길 3 (상동),,,,,,,,,,,,,,,,,,,,16:00,12:00,,,33,061-285-0991,,일반실,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,지리산오토캠핑장(호호당),"지리산오토캠핑장, 호호당은 전라남도 구례군 산동면에 위치하고 있다. 가족이 꾸려가고 있는 캠핑장은 폐교를 리모델링하여 만들었으며, 작가의 작품으로 채워진 카페드호호에서 체크인, 카페, 작은점빵, 쉼터의 공간을 제공하고 있다. 캠핑장의 일부 사이트는 노키즈존으로 운영하고 있으며 운동장 사이트는 가족 사이트로 운영하고 있다.",,"https://blog.naver.com/cassie007/222650950587
https://www.instagram.com/hohodangzoo",전라남도 구례군 산동면 수락폭포로 170-5,14:00 ~ 익일11:00,"60,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,,가능,,가능,,,,,,,,,,,,,,,,,,,,"전기,장작판매,온수,놀이터,산책로,운동장,마트.편의점",,,,,,,,,,,,,,,,,,,,,,,,"안전시설 설비사항
소화기:31",,,,,,,,,,,,,,,,,,
631,투유무인텔,"투유무인텔은 목포시 복만동에 위치한 모텔이다. 깔끔하고 아늑한 객실이 구비되어 있으며, 전 객실 월풀욕조를 갖추었다. 또한 목포항과 유달산 케이블카에 인접해 있어 연계 관광을 즐길 수 있다.",,,전라남도 목포시 해안로237번길 31,,,,,,있음,,,,,,,,,,,,,,18:00,익일 14:00,,,27,061-243-1100,,일반실,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,티무인텔,"티무인텔은 목포 축복동에 위치해 있으며 넓은 객실이 준비되어 있다. 객실 내부는 고풍스러운 인테리어로 꾸며져 있으며, 편안하고 아늑하게 휴식하기에 좋다.
(정보제공자: 목포시청)",,,전라남도 목포시 번화로 82 (축복동3가),,,,,,없음,,,,,,,,,,,,,,16:00,12:00,,,,061-247-5800,,"일반실, 특실, 트윈",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,파라오모텔,"목포 파라오모텔은 목포 상동에 위치해 있으며 객실 내부에 편의 시설이 다양하게 구비되어 있다.
(정보제공자: 목포시청)",,,전라남도 목포시 통일대로 60 (상동),,,,,,없음,,,,,,,,,,,,,,,,,,47실,061-285-3091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,프라도호텔,"목포프라도호텔은 목포 상동에 위치해있으며 다양한 객실이 구비되어있다.
(정보제공자: 목포시청)",,,전라남도 목포시 번영로 24,,,,,,가능,,,,,,,,,,,,,,15:00,익일 13:00,,,50실,061-284-0492,,"일반실, 트윈룸, 온돌방, 특실",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,플러스모텔,"목포플러스모텔은 목포시 상동에 위치하고 있으며 목포 평화광장, 갓바위 등의 관광지에 인접해 있다.
(정보제공자: 목포시청)",,,전라남도 목포시 신흥로69번길 18 (상동),,,,,,주차가능,,,,,,,,,,,,,,15:00,12:00,,,,061-285-1066,,"일반실, 온돌, 트윈",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,하루호텔,"목포 하루 호텔은 목포 용당동에 위치한 숙소로 청결하고 아늑한 객실이 방문객들의 만족도를 높인다.
(정보제공자: 목포시청)",,,전라남도 목포시 용당로216번길 30,,,,,,없음,,,,,,,,,,,,,,18:00,12:00,,,17실,061-277-2080,,"일반실, 디럭스, 스탠다드, 스위트, 특실, 비즈니스",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,호텔몬다비,"항구의 도시 목포에 위치한 호텔 몬다비는 국내외 관광객 및 비즈니스 고객 등 다양한 고객들이 찾아주시는 명실 상부한 지역의 전통 있는 명소로서 고객에게 항상 편안한 휴식을 제공하기 위해 전 임직원이 노력하고 있다. 2017년 전체 리모델링을 통하여 감각적이고 세련된 디자인으로 재탄생하였으며, 쾌적한 객실환경과 다양한 편의시설로 많은 고객에게 사랑받는 호텔로 거듭나고 있다. KTX, SRT 등 고속열차를 이용하여 수도권에서도 2시간 내에 목포역을 도착할 수 있으며 호텔에서 목포역과 도보로 이동이 가능하고 유명관광지와 이동이 편리하여 목포를 찾는 많은 관광객들이 선호한다.",,http://www.mondavihotel.com,전라남도 목포시 수강로4번길 33,,,,,,주차가능(60대),,,,,,,,,,,,,,16:00,12:00,가족룸만 가능,레스토랑,78실,061-242-2200,http://www.mondavihotel.com,"양실, 한실",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,카이저,"목포 카이저호텔은 목포 상동에 위치하고 있는 숙박업소로서 전 객실 최고급 침대를 구비했으며 청결한 객실을 제공하기 위해 늘 노력하고 있다.
(정보제공자: 목포시청)",,,전라남도 목포시 하당남부로51번길 27 (상동),,,,,,없음,,,,,,,,,,,,,,13:00,익일 14:00,,,41,,,"스탠다드, 디럭스, 슈페리어, 스위트",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,호텔티파니에서아침을,"티파니에서 아침을 호텔은 교통이 편리하며, 목포의 관광지와 인접해 있어 여행객들에게 적합하다. 객실에는 리프트, 컨시어지 서비스가 완비되어 있다. 모든 객실에 주문형 영화 서비스, 평면 tv 등의 엔터테인먼트 시설도 구비되어 있다.
(정보제공자: 목포시청)",,,전라남도 목포시 평화로140번길 24 (옥암동),,,,,,없음,,,,,,,,,,,,,,16:00,11:00,,,40실,061-283-6055,,"일반실, 특실, VIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,테마,"목포 테마모텔은 목포 신도시인 하당지역에 위치한 숙박업소로서 다양한 객실이 준비되어 있으며, 각 객실은 청결하고 편리함을 선사한다. 버스터미널에서 도보 15분, 평화광장과도 도보 15분, 이마트와는 도보 5분 거리에 위치해 있어 접근성이 좋다. 주변으로는 다양한 식당이 있어 이용에 불편함이 없다.",,,전라남도 목포시 비파로108번길 15 1~4층 (상동),,,,,,,,,,,,,,,,,,,,,,,,,061-282-4711,,"일반실, 디럭스, 가족실",사우나실,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,목포가족관광호텔,"목포시내에 위치한 목포가족관광호텔은 목포근대사역사관, 유달산, 목포역과 인접하다. 객실은 2~18인실까지 다양하게 준비되어 있으며, 전 객실 내부에 취사 시설이 있어 취사가 가능하다.
(정보제공자: 목포시청)",,http://www.tophotel.kr,전라남도 목포시 호남로64번길 28 (대안동),,,,"가성비 나쁘지않고, 가족단위로 많이 오는듯해요 ㅎ 다만 홍어는 못가져온다네영 ㅜ",,주차가능(15대),,,,,,,,,,,,,,15:00,12:00,,"탐앤탐스(카페), 밀러호프",48,061-247-8585,http://www.tophotel.kr,"더블, 트윈, 트리플, 온돌, 스위트, 단체",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,지중해모텔,"지중해모텔은 전남 목포시 상동에 위치한 모텔로 화사하고 청결한 객실, 객실 내 구비된 PC로 편안한 여행을 즐길 수 있다.
(정보제공자: 목포시청)",,,전라남도 목포시 평화로 65-6,,,,,,없음,,,,,,,,,,,,,,18:00,익일 11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,백두천지,"백두천지는 목포에 위치한 갈비 전문점이다. 대표 메뉴는 양념갈비인데, LA갈비, 소갈비, 돼지갈비 등 원하는 메뉴를 골라 맛볼 수 있다. 푸짐한 양의 갈비탕 또한 인기 메뉴이다. 주차 시설과 개별 룸이 완비되어 있어 각종 모임 및 회식을 하기 좋은 식당이다. 또한 어린이 놀이방 시설이 이용 가능하여 어린아이가 있는 가족끼리 식사하기에도 좋다.",,,전라남도 목포시 옥암로 33,,,,,연중무휴,불가,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,,,,,,,,,,,,,,,,,,,,,,엘리베이터 있음,,,,,,11:30~21:30 (브레이크타임 15:00~17:00 / 라스트오더 20:30),돼지왕갈비,백두갈비 / 소갈비찜 / 명품생왕갈비 등,,,,,,의자식 테이블 있음_무장애 편의시설,,,,,,,,,,,,,전체 40석 (룸/별실 3실),,,,,,,,,
644,수일식,"전라남도 목포에 위치한 수일식은 일식 전문점으로, 고급스러운 분위기에 조용하게 식사를 즐길 수 있는 식당이다. 인기 메뉴는 수 런치코스로 죽, 홍어삼합, 다시마숙성회, 제철모둠회, 참치회, 초밥, 튀김 등이 나온다. 그 외에도 참치코스, 수 정식코스 등 다양한 코스 메뉴와 단품 메뉴 초밥, 영양전복죽, 매운탕이 있다. 오마카세는 2일 전 예약이 필수이다.",,,전라남도 목포시 평화로 103,,,,,연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"- 11:30~22:00
- 준비시간 14:00~17:00
- 마지막 주문 20:30",수 런치코스,회+굴비 정식 / 참치코스 / 수 오마카세 등,,,,,,,,,,,,,,,,,,,"전체 70석, 룸/별실 10실",,,,,,,,,
645,VIP호텔,"VIP호텔은 호텔 지상 1층과 지하 1층에 주차장이 마련되어 편리하게 이용할 수 있다. 모든 객실에서 와이파이를 이용할 수 있고 또한 객실 내에는 각종 편의시설이 구비되어 있다.
(정보제공자: 목포시청)",,http://www.mokpoviphotel.com/,전라남도 목포시 미항로 6,,,,,,주차 가능(25대),,,,,,,,,,,,,,15:00,12:00,불가,,45실,061-283-9955,,"디럭스, 트윈, 더블트윈, 스탠다드",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,H모텔,"H호텔은 목포시 상동에 위치하고 있으며 터미널과 대형마트가 가까운 곳에 있어서 하룻밤 머물기에 편리하다. 또한 조용하고 깨끗한 내부를 늘 유지하고 있으며 전기차 충전소가 있다.
(정보제공자: 목포시청)",,,전라남도 목포시 비파로124번길 16-1 (상동),,,,,,주차가능,,,,,,,,,,,,,,14:00,12:00,,,38,061-285-2032,,"일반실, 특실, VIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,500호호텔,"서남해안 해양 관광의 중심도시 목포를 대표하는 500th 모텔은 현대식 건물과, 최고수준의 서비스를 갖추고 목포 뿐만 아니라 외지에서 방문하는 모든 관광객들에게도 높은 인지도를 유지하고 있다.
(정보제공자: 목포시청)",,,전라남도 목포시 평화로140번길 22 (옥암동),,,,,,있음(주차요금 : 무료 / 승용차 : 20대 가능),,,,,,,,,,,,,,16:00,11:00,,,,061-285-0505,,"vip, 특실, 일반실",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,명품무인호텔,"명품 무인호텔에서는 무선 인터넷을 이용할 수 있으며 주차장이 마련되어 있다. 객실에는 각종 시설이 완비되어 있으며 전용 욕실이 마련되어 있다. 또한 간단한 조식을 제공한다.
(정보제공자: 목포시청)",,,전라남도 목포시 하당남부로51번길 14 1-3층(상동),,,,,,없음,,,,,,,,,,,,,,17:00,12:00,가능,,45,0507-1444-7701,,"스탠다드, 디럭스, 프리미엄, 스위트, VIP, VVIP, 스위트파티",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,목포무인호텔,"모던 빈티지한 감각에 담긴 따뜻하고 편안한 객실, 우드패턴이 감성을 자극한다. 편안한 휴식공간 욕실은 해바라기 샤워기와 2인용 월풀이 갖춰져 있어 파트너와 함께 여유로운 휴식을 취할 수 있다.
(정보제공자: 목포시청)",,http://www.mpmuinhotel.com/,전라남도 목포시 비파로108번길 14 2~3층 (상동),,,,,,주차가능,,,,,,,,,,,,,,18:00,12:00,,,36,061-281-1002,,"스탠다드, 디럭스, 스위트, 프리미엄, 비즈니스",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,호텔얌 목포하당점,"호텔얌 목포하당점은 야놀자 프랜차이즈 비즈니스 호텔로 목포 옥암동에 위치하고 있다. 전 객실에는 스낵바와 향수바가 구비되어 있다.
(정보제공자: 목포시청)",,,전라남도 목포시 옥암로54번길 41-1,,,,,,,,,,,,,,,,,,,,17:00,12:00,,,,061-282-8267,,"스탠다드, 프리미엄, 트윈",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,있음,
651,시월애,"시월애에는 목포 상동에 위치한 숙박업소로서 감각적이고, 깔끔한 내부로 휴식을 취하기에 적합하다.
(정보제공자: 목포시청)",,,전라남도 목포시 원형동로 50 2-5층(상동),,,,,,없음,,,,,,,,,,,,,,16:00,12:00,,,32,061-281-7300,,"일반실, 트윈, 특실, VIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,스타모텔,"스타모텔은 목포 상동에 위치한 숙박업소이다. 2022년 11월에 트렌드에 맞는 옵션을 비치하고, 고객의 니즈에 맞는 안락한 인테리어로 전 객실을 올 리모델링하여 탈바꿈했다. 게다가 실외에 골프 연습장도 구비되어 있으며, 숙박 시 무료로 이용이 가능하다.",,,전라남도 목포시 번영로 28 (상동),,,,,,있음,,,,,,,,,,,,,,15:00,12:00,,,,061-282-7010,,"스탠다드, VIP, 일반실, 게이밍PC룸, 트윈, 비즈니스",야외 골프연습장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,[착한가게] 다순구미감자탕,전남 목포시 구 자유시장 외양간 맞은편에 위치한 다순구미감자탕은 신선한 재료와 양념부터 하나하나 직접 만들어 정성과 노력이 들어간 음식을 대접하는 식당이다. 다순구미란 의미는 따뜻하고 양지바른이란 뜻으로 목포 온금동에서 따온말이다.,,,전라남도 목포시 자유로 48 (산정동),,,,,매주 월요일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10:50~22:00
- 월요일~토요일 준비 시간 15:00~17:00
- 마지막 주문 21:20",감자탕,묵은지감자탕 / 매운뼈찜 / 간장뼈찜 / 뼈해장국 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,성균관,다양한 중식을 먹을 수 있는 곳이다. 전라남도 목포시에 있는 중식전문점이다. 대표메뉴는 짜장면이다.,,,전라남도 목포시 비파로 135,,,,,연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:30 ~ 20:00,짜장면,짬뽕 / 간짜장 / 잡채밥 외,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,[착한가게]종가집,옛 전통 방식으로 신안에서 농사지은 콩을 으깨 정성스레 만든 청국장을 맛볼 수 있다. 그 맛이 구수하고 맛깔스러워 찾는 이들이 많다. 특히나 홍어 청국장은 이 집의 대표 메뉴이다. 홍어의 알싸한 향과 청국장의 오묘한 조합은 중독적이다. 색다른 청국장을 경험해 보고 싶다면 종가집에 방문하기를 추천한다.,,,전라남도 목포시 노적봉길 22,,,,,"매달 두번째, 네번째 일요일",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00~16:00 (라스트오더 15:30),청국장,동태청국장 / 차돌청국장 / 홍어청국장 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,시골집순두부 목포본점,"시골집순두부 목포본점은 2대에 걸쳐 운영 중인 곳이다. 즉석두부제조업 사업자를 가지고 있는 사장님이 매일 아침 직접 만든 순두부와 손두부를 이용하여 다양한 두부요리를 건강하고 맛있게 만들어 손님들 상에 올리고 있다. 메인음식과 함께 곁들여 먹는 밑반찬은 전라남도 무안군 몽탄면에 위치한 시골집 농장에서 무, 배추, 대파, 쑥갓, 양파, 생강, 호박 등을 재배하여 식재료로 사용하고 있다. 또한 김장철이면 1,500 포기의 김장을 5일에 걸쳐 1년 치 필요한 배추김치를 직접 담그고 있다. 청국장도 직접 띄워 청국장찌개를 만들어 제공하고 있다.
식당의 외관은 예스러운 흙집의 분위기를 느낄 수 있다. 이곳을 운영하는 사장님이 부모님과 함께 벽돌과 나무 하나하나를 직접 깎고 쌓아 올려 정성껏 만들었다. 오래된 건물이지만 지속적인 관리와 위생적인 운영으로 목포시에서 지정하는 목포으뜸맛집과 목포 모범업소, 전라남도와 목포시에서 인증받은 안심식당이다.",,,전라남도 목포시 복산길6번길 44,,,,,매주 토요일,"가능(15대)
요금(무료)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09:30~21:00
라스트 오더 20:30",시골집반상,두부보쌈 / 두부김치 / 두부김치전골 / 청국장찌개 / 된장찌개 외,,,,,,,,,,,,,,,,,,,전체 80석 / 룸·별실 1실,,,,,,,,,
657,[착한가게]푸른솔아구집,"‘푸른솔아구집’은 목포시 선정 9 미 중 하나인 아귀찜을 판매하는 곳이다. 전라남도 목포시에 있는 해물 전문점이다. 대표메뉴는 아귀찜이다. 아귀찜은 매콤한 맛과 부드러운 아귀살, 아삭한 콩나물의 식감의 조합이 좋다. 그리고 준치회무침은 초장의 새콤함과 미나리가 풍부하게 들어가 비린맛을 최소화하여 호불호 없이 즐길 수 있다.",,,전라남도 목포시 번화로 8-1,,,,,매주 일요일,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00~21:00,아귀찜,아귀탕 / 갈치찜 / 병어찜 / 황태탕 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,고흥삼계탕,목포시민들이 자주 찾는 숨은 맛집이다. 전라남도 목포시에 있는 삼계탕 전문점이다. 대표메뉴는 전복삼계탕이다.,,,전라남도 목포시 복산길6번길 40,,,,,연중무휴,가능 (주차요금 : 무료 / 승용차 : 2대 가능),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:30~21:00,삼계탕,전복삼계탕 / 옻삼계탕 / 들깨삼계탕 등,,,,,,,,,,,,,,,,,,,"전체 18석, 룸/별실 8실",,,,,,,,,
659,고천암 자연생태공원,"고천암 자연생태공원은 전남 해남군 황산면에 위치한 공원이다. 자연 맞이 광장, 철새 솟대 화랑, 나들이 뜰, 안뜰광장의 바닥분수, 수향 습지원, 새소리 숲, 들꽃 향기원, 새 맞이 광장 등의 시설물을 갖춘 곳으로, 계절감을 느낄 수 있는 자연을 벗 삼아 걷는 즐거움이 가득한 곳이다. 해남 고천암은 본래 철새 도래지로 유명하여 해남을 찾는 철새들의 조형물과 고천암호에 출현하는 조류를 테마로 한 철새 솟대 화랑 등을 어린이의 눈높이에 맞춰 관람할 수 있다.",,해남문화관광 https://www.haenam.go.kr/tour,전라남도 해남군 황산면 고천암로 752-14,상시 개방,,,,연중무휴,"가능
요금 (무료)",무료,있음,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,,,,,,,장애인 주차장 있음_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
